route,description,operator
721,Audenshaw School - Dukinfield,Metroline Manchester
722,Co-op Academy - Monsall,First Manchester
724,New Moston - Trinity High School,Metroline Manchester
725,Trinity High School - Ryder Brow,Metroline Manchester
725,Ryder Brow - Trinity High School,Metroline Manchester
726,New Moston - The East Manchester Academy,Diamond
727,West Gorton - Barlow RC High School,Metroline Manchester
728,Moss Side - Barlow RC High School,Diamond
729,St Paul's Catholic HS - Wythenshawe,Diamond
730,Levenshulme - Altrincham Schools,Metroline Manchester
731,Hazel Grove - Altrincham Schools,Metroline Manchester
733,Whalley Range High School - Cheetham Hill,Diamond
734,Moss Side - Altrincham Schools,Metroline Manchester
735,Wrightington Bar - St Peter's Catholic High School,[AOLC] A1 Coaches Ltd
736,Ashton-on-Mersey - Broadoak School,Metroline Manchester
737,Sale - Altrincham College of Arts,Metroline Manchester
738,Sale - Altrincham College of Arts,Metroline Manchester
739,St Peter's RC High School - Moss Side,Diamond
74,Pendleton Salford Shopping Centre - Seedley - Agec,Diamond
740,King David High School - Gatley,Diamond
741,King David HS - Bowdon,Diamond
742,Carmel College - Golborne,[SCMY] Stagecoach Merseyside & South Lancs
742,Burnage - Loreto College,Metroline Manchester
742,Platt Bridge - Carmel College,[HUYT] HTL Buses
743,Loreto College - Heald Green,Go North West
743,Heald Green - Loreto College,Metroline Manchester
744,Loreto College - Eccles,Diamond
745,Loreto College - Roe Green,Diamond
746,Altrincham Grammar School - Northern Moor,Diamond
747,Haughton Green - Fairfield High School,Metroline Manchester
748,Burnage Academy - Gorton,Diamond
748,Gorton - Burnage Academy,Metroline Manchester
749,Moss Side - Burnage Academy for Boys,Metroline Manchester
75,Pendleton Salford Shopping Centre - Seedley - Agec,Diamond
751,Burnage Academy - Manchester,Metroline Manchester
752,Cheadle - Loreto Grammar School,Metroline Manchester
753,Altrincham Schools - Heaton Mersey,Metroline Manchester
754,Altrincham Grammar School - Loreto Grammar School,Diamond
755,Altrincham Grammar School for Boys - Loreto Gramma,Diamond
756,Woodsend Circle - Altrincham Schools,Metroline Manchester
757,Eccles - Loreto Grammar School,Metroline Manchester
758,The Kingsway School - St James' Catholic High Scho,Diamond
758B,Heald Green - St James' Catholic High School,Metroline Manchester
758C,Kingsway School - Heald Green,Metroline Manchester
759,Altrincham Girls Grammar - Loreto Gramma,Diamond
76,Oldham - Limeside - Failsworth - Manchester,Metroline Manchester
760,Altrincham Grammar School for Boys - Loreto Gramma,Diamond
761,St Ambrose College - Heaton Mersey,Diamond
762,St Ambrose College - Chorlton,Diamond
763,Burnage Academy - St Ambrose College,Metroline Manchester
764,Sale - St Ambrose Collge,Metroline Manchester
765,Oldfield Brow - St Ambrose College,Metroline Manchester
766,Wrightington - Croston Bishop Rawstorne Academy,[DONF] Don Fraser Coaches
766,Davyhulme - St Ambrose College,Metroline Manchester
767,St Ambrose College - Didsbury,Diamond
768,Stepping Hill - St Ambrose College,Metroline Manchester
768,St Ambrose College - Hazel Grove,Diamond
769,St Ambrose College - Didsbury,Diamond
76A,Manchester - Failsworth - Oldham,Metroline Manchester
76B,Manchester - Hollinwood,Metroline Manchester
770,Waterhead - St. Damian's College,Go North West
771,Clayton - St Damian's College,Go North West
772,Sale - Altrincham College of Arts,Metroline Manchester
773,Hale - Altrincham College of Arts,Diamond
773,Altrincham College of Arts - Hale,Metroline Manchester
774,Oldham - Great Academy Ashton,Go North West
775,Fitton Hill - St Damian's College,Go North West
776,Ashton - Altrincham College of Arts,Metroline Manchester
777,Altrincham College of Arts - Sale Moor,Diamond
778,Hulme - Sale High School,Metroline Manchester
779,Altrincham College of Arts - Wythenshawe,Diamond
780,Sale Grammar School - Hale Barns,Diamond
781,Cardinal Langley RC High School - Heywood,Stagecoach Manchester
782,Hale Barns - Sale Grammar School,Metroline Manchester
783,Sale Grammar School - Bowdon Vale,Metroline Manchester
784,Oldham - Saddleworth School,Stagecoach Manchester
785,Hulme - Stretford - St Antonys RC College,Diamond
786,Flixton - St Antony's Roman Catholic School,Metroline Manchester
787,St. Thomas More RC College - Heaton Chapel,Go North West
788,Cardinal Langley RCHS - Alkrington,Stagecoach Manchester
789,Lostock - Blessed Thomas Holford College,Metroline Manchester
789,Blessed Thomas Holford College - Lostock,Diamond
79,Pendleton Salford Shopping Centre - Media City UK,Diamond
790,Reddish - St. Thomas More RC College,Go North West
791,Dane Bank - Audenshaw School,Go North West
792,Heaviley - Heaton Moor,Metroline Manchester
793,Littlemoss - Audenshaw School,Go North West
794,Crompton House School - Alkrington,Stagecoach Manchester
795,Cadishead - Wellacre Academy,Diamond
796,Moss Side - Sale Grammar School,Metroline Manchester
797,Burnage Academy - Manchester,Metroline Manchester
798,Stretford - Flixton - Wellacre Academy,Metroline Manchester
799,Flixton - Boothstown,Metroline Manchester
8,Bolton - Manchester,Go North West
800,Falinge Park HS - Smallbridge,First Manchester
801,Marple Hall School - Lower Bredbury,Diamond
802,Hazel Grove - Marple Hall School,Metroline Manchester
803,Blue Coat School - Mottram,Go North West
804,Hazel Grove - Harrytown Catholic High School,Go North West
805,Harrytown High School - Brinnington,Diamond
806,Marple Hall School - Bredbury,Diamond
807,Harrytown High School - Offerton - Stockport,Diamond
808,Lane Ends - Marple Hall School,Metroline Manchester
809,Crompton House School - Middleton,Go North West
81,Manchester - Oldham,Stagecoach Manchester
810,Northern Moor - Kingsway School,Go North West
811,Heath Charnock - Horwich - St Josephs RCHS,[VISB] Vision Bus
811,St James' Catholic High School - Heaton Chapel,Metroline Manchester
812,Stockport - St James' Catholic High School,Metroline Manchester
813,St James' Catholic High School - Stockport,Diamond
814,Reddish Vale School - Brinnington Hall,Diamond
815,St James' Catholic High School - Heaviley,Metroline Manchester
816,Blue Coat School - Haughton Green,Go North West
817,Longdendale High School - Stalybridge,Go North West
817,Longdendale High School - Stalybridge,Metroline Manchester
818,Cheadle Catholic Junior School - Cheadle,Metroline Manchester
819,Harrytown High School - Mellor,Metroline Manchester
82,Oldham - Sholver,Stagecoach Manchester
820,Ridge Hill - Copley Academy,Go North West
821,Newman Catholic College - Abbey Hills,Go North West
822,Blue Coat School - Diggle,Stagecoach Manchester
823,Blue Coat School - Diggle,Stagecoach Manchester
824,Newman Catholic College - Bardsley,Go North West
825,Saddleworth School - Delph - Oldham,Go North West
826,Saddleworth School - Denshaw - Moorside,Go North West
827,Hazel Grove HS - Heaviley,Metroline Manchester
828,Saddleworth School - Mossley,First Manchester
829,Oasis Academy Leesbrook - Werneth Park,Stagecoach Manchester
83,Manchester - Oldham,Stagecoach Manchester
830,Longdendale High School - Hyde,Go North West
831,North Chadderton School - Thornham,First Manchester
832,Blue Coat School - Norden,Go North West
833,Newman Catholic College - Newton Heath,Go North West
834,Bosden Farm - Hazel Grove High School,Metroline Manchester
835,Blessed John Henry Newman College - Sholver,Stagecoach Manchester
836,Blessed John Henry Newman College - Derker,Stagecoach Manchester
